material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites,layered_score,anisotropy_ratio,layer_axis,axis_bonds_a,axis_bonds_b,axis_bonds_c,total_bonds,layered_invalid_reason,is_layered_candidate,weak_axis_fraction,layered_continuous,weak_axis,eg_target_score,score_stability_norm,score_eg_norm,score_layered_norm,score_formE_norm,complexity,score_complexity_norm,baseline_score_v3,gating_efficiency_eta,quantum_proxy,dielectric_proxy,surface_proxy,debye_length_nm_physio_0p15M,loc_ooc_score_physio_0p15M_2nm,loc_ooc_score_physio_0p15M_5nm,loc_ooc_score_physio_0p15M_10nm,debye_length_nm_diluted_0p01M,loc_ooc_score_diluted_0p01M_2nm,loc_ooc_score_diluted_0p01M_5nm,loc_ooc_score_diluted_0p01M_10nm,loc_ooc_score_robust_min,loc_ooc_score_main
mp-569309,RbMnCl3,"Cl,Mn,Rb",3,1.3133,0.0,-1.823708969086208,3.114640125663711,30,1.0,0.0,c,32,32,0,168,,True,0.0,1.0,c,0.95274084602764,1.0,0.93684345165142,1.0,0.4586115647957919,60,0.5263157894736843,0.8285647548193819,0.6666666666666666,0.4322828859205464,0.3210643797208854,0.3333333333333333,0.7849246248313698,0.0024130073442365048,5.2805009875264404e-05,9.040711326180576e-08,3.0399999999999996,0.015974512011010834,0.00595453043511345,0.0011496016664663729,9.040711326180576e-08,5.2805009875264404e-05
mp-28328,RbI3,"I,Rb",2,1.6271,0.0,-1.074112831874999,4.231923268152993,16,1.0,0.0,b,48,0,0,96,,True,0.0,1.0,b,0.977813149818596,1.0,0.9703497779152284,1.0,0.2649909105484849,36,0.8421052631578947,0.8297961529042935,0.6666666666666666,0.38064786266225115,0.2362991804519287,0.5,0.7849246248313698,0.002345715544744183,5.133243079455685e-05,8.788592021495326e-08,3.0399999999999996,0.015529029048930271,0.005788475794182647,0.0011175425991698446,8.788592021495326e-08,5.133243079455685e-05
mp-1103889,Eu(AlS2)2,"Al,Eu,S",3,1.1797,0.0,-1.6562228723214272,3.433449314104583,14,1.0,0.0,c,16,16,0,64,,True,0.0,1.0,c,0.8671970813634132,1.0,0.8225237899014735,1.0,0.4153499122563694,44,0.736842105263158,0.8123851404529581,0.6666666666666666,0.45877873101803,0.29125229718464396,0.3333333333333333,0.7849246248313698,0.0023231171509476866,5.0837899184265926e-05,8.703923586798077e-08,3.0399999999999996,0.01537942390413288,0.005732710185359565,0.0011067763032321359,8.703923586798077e-08,5.0837899184265926e-05
mp-573763,Cs2Te,"Cs,Te",2,1.774,0.0,-1.220100983333334,4.077192021558062,12,1.0,0.0,c,48,8,0,72,,True,0.0,1.0,c,0.9009799972576106,1.0,0.8676708737726442,1.0,0.3026996446181128,32,0.8947368421052632,0.8169313315773099,0.6666666666666666,0.3604902667627974,0.24526683921496026,0.5,0.7849246248313698,0.0023058025358992217,5.0458995066628485e-05,8.639051659760223e-08,3.0399999999999996,0.015264798257958042,0.005689983252710721,0.0010985272979560092,8.639051659760223e-08,5.0458995066628485e-05
mp-22876,CsI3,"Cs,I",2,1.6766,0.0,-1.113519470538793,4.235257200307448,16,1.0,0.0,b,48,0,0,96,,True,0.0,1.0,b,0.957608684688848,1.0,0.9433487728912198,1.0,0.2751696438436661,36,0.8421052631578947,0.8250816483073278,0.6666666666666666,0.3736083090487932,0.23611316921376288,0.5,0.7849246248313698,0.002300522429169373,5.0343447930529605e-05,8.619268909894169e-08,3.0399999999999996,0.015229843068709717,0.005676953637903031,0.0010960117567123191,8.619268909894169e-08,5.0343447930529605e-05
mp-9843,Sr3(AlP2)2,"Al,P,Sr",3,1.3365,0.0,-1.163182541878307,3.259068581765055,18,1.0,0.0,b,16,0,0,104,,True,0.0,1.0,b,0.9635526722537352,1.0,0.9512922466269268,1.0,0.2879976133159502,48,0.6842105263157895,0.8138436369515006,0.6666666666666666,0.4279905842071474,0.30683613275128363,0.3333333333333333,0.7849246248313698,0.0022831749500535816,4.996382463256979e-05,8.554273852462033e-08,3.0399999999999996,0.01511499985691516,0.005634145607246101,0.0010877470943820788,8.554273852462033e-08,4.996382463256979e-05
mp-19795,InS,"In,S",2,1.3508,0.0,-0.683356846406249,4.920436511985393,8,1.0,0.0,b,16,0,0,24,,True,0.0,1.0,b,0.9695555042459458,1.0,0.959314359349986,1.0,0.1640586540950437,28,0.9473684210526316,0.8173771627617685,0.6666666666666666,0.42538710226305937,0.20323400120378762,0.5,0.7849246248313698,0.002254604764122469,4.9338609399042236e-05,8.447231159800764e-08,3.0399999999999996,0.014925860449858042,0.005563643525240425,0.0010741357253839239,8.447231159800764e-08,4.9338609399042236e-05
mp-27138,K2PdBr4,"Br,K,Pd",3,1.204899999999999,0.0,-1.483386717785713,3.498862059881381,7,1.0,0.0,b,32,0,0,40,,True,0.0,1.0,b,0.886078250091773,1.0,0.847756357476003,1.0,0.3707063399945175,37,0.8289473684210527,0.8189750942100096,0.6666666666666666,0.4535353077237065,0.2858072089969452,0.3333333333333333,0.7849246248313698,0.002253630737060054,4.93172942924917e-05,8.443581814299923e-08,3.0399999999999996,0.014919412227872821,0.0055612399379485625,0.001073671680739878,8.443581814299923e-08,4.93172942924917e-05
mp-1209449,Rb3LuCl6,"Cl,Lu,Rb",3,1.3029,0.0,-2.505183397916666,3.38820470664767,40,1.0,0.0,c,8,8,0,232,,True,0.0,1.0,c,0.9474736759973952,1.0,0.9298044687565176,1.0,0.6346363843124181,70,0.3947368421052631,0.8488520782621394,0.6666666666666666,0.4342350948803682,0.29514155329458,0.3333333333333333,0.7849246248313698,0.0022281978695989167,4.876073452045065e-05,8.348293578454994e-08,3.0399999999999996,0.014751042393565113,0.00549847975459841,0.0010615549887264134,8.348293578454994e-08,4.876073452045065e-05
mp-18612,Rb2MoS4,"Mo,Rb,S",3,1.5750000000000002,0.0,-1.241346462142855,3.037417623517359,28,1.0,0.0,b,32,0,0,168,,True,0.0,1.0,b,0.9922179382602436,1.0,0.9896001645295238,1.0,0.3081873510011802,58,0.5526315789473684,0.8143006692273538,0.6666666666666666,0.3883495145631068,0.3292270355770144,0.3333333333333333,0.7849246248313698,0.0022228836629881016,4.864444116012022e-05,8.328383068024592e-08,3.0399999999999996,0.014715861457404177,0.005485365992189788,0.0010590232016639617,8.328383068024592e-08,4.864444116012022e-05
