query_label,material_id,formula,elements,nelements,band_gap_eV,energy_above_hull_eV,formation_energy_per_atom_eV,density,nsites
Mo-Se,mp-1634,MoSe2,"Mo,Se",2,1.301,0.0,-0.749936842708334,6.512714079136082,6
Mo-Se,mp-1025733,Te4Mo3Se2,"Mo,Se,Te",3,0.43409999999999904,0.025089974444441002,-0.42980348423611403,4.728145948792831,9
Mo-Se,mp-1025685,Te4Mo3Se2,"Mo,Se,Te",3,0.18710000000000002,0.02524563,-0.429647828680556,4.736226914239572,9
Mo-Se,mp-1224584,Hf15Mo11Se2,"Hf,Mo,Se",3,0.0,0.162394549750004,-0.141863492593744,11.83753959943901,28
Mo-Se,mp-568726,Mo(SeCl6)2,"Cl,Mo,Se",3,0.0,0.033875944589745,-0.544551925988368,2.489920123614146,30
Mo-Se,mp-1045211,Mo3Se2ClO8,"Cl,Mo,O,Se",4,1.3434,0.287179403505953,-1.341345009620537,3.341335850212661,28
Mo-Se,mp-1225158,K4Mo6Se2O33,"K,Mo,O,Se",4,0.440799999999999,0.44294715380555005,-1.149429283970833,2.953634734507121,45
Mo-Se,mp-1181610,K2MoSe2O11,"K,Mo,O,Se",4,0.656099999999999,0.537803466171877,-1.009534864011718,2.902881631112636,64
Mo-Se,mp-671913,MoSe2Cl4O,"Cl,Mo,O,Se",4,1.0987,0.16650777888221002,-0.9219905271484371,3.134530550215934,64
Mo-Se,mp-683684,MoSe2Cl4O,"Cl,Mo,O,Se",4,1.0025,0.064288843257211,-1.024209462773437,3.061818186018359,128
Mo-Se,mp-1195277,Na2Mo2Se2O11,"Mo,Na,O,Se",4,2.7771999999999992,0.0,-1.787252214849771,3.888547103585765,34
Mo-Se,mp-1023927,Te2MoWSe2,"Mo,Se,Te,W",4,0.7319999999999991,0.078898305833334,-0.37659733052082806,4.615540662390486,6
Mo-Se,mp-1023945,Te2MoWSe2,"Mo,Se,Te,W",4,0.30499999999999905,0.117883969166669,-0.337611667187492,4.590996915242269,6
Mo-Se,mp-1025598,Te4Mo(WSe)2,"Mo,Se,Te,W",4,0.32380000000000003,0.06804103500000301,-0.274473212013889,5.593367324154381,9
Mo-Se,mp-1025626,Te4Mo2WSe2,"Mo,Se,Te,W",4,0.0575,0.08432011722221901,-0.32180089590277,5.175937031373377,9
